statement,label,lang,dataset
A cidade de São Paulo fica em São Paulo.,1,pt,cidades_br
A cidade de São Paulo fica no Amazonas.,0,pt,cidades_br
A cidade de Rio de Janeiro fica no Rio de Janeiro.,1,pt,cidades_br
A cidade de Rio de Janeiro fica em São Paulo.,0,pt,cidades_br
A cidade de Brasília fica no Distrito Federal.,1,pt,cidades_br
A cidade de Brasília fica em Minas Gerais.,0,pt,cidades_br
A cidade de Salvador fica na Bahia.,1,pt,cidades_br
A cidade de Salvador fica no Amapá.,0,pt,cidades_br
A cidade de Fortaleza fica no Ceará.,1,pt,cidades_br
A cidade de Fortaleza fica em Minas Gerais.,0,pt,cidades_br
A cidade de Belo Horizonte fica em Minas Gerais.,1,pt,cidades_br
A cidade de Belo Horizonte fica no Rio de Janeiro.,0,pt,cidades_br
A cidade de Manaus fica no Amazonas.,1,pt,cidades_br
A cidade de Manaus fica em Alagoas.,0,pt,cidades_br
A cidade de Curitiba fica no Paraná.,1,pt,cidades_br
A cidade de Curitiba fica em Pernambuco.,0,pt,cidades_br
A cidade de Recife fica em Pernambuco.,1,pt,cidades_br
A cidade de Recife fica no Paraná.,0,pt,cidades_br
A cidade de Porto Alegre fica no Rio Grande do Sul.,1,pt,cidades_br
A cidade de Porto Alegre fica no Pará.,0,pt,cidades_br
A cidade de Belém fica no Pará.,1,pt,cidades_br
A cidade de Belém fica em Alagoas.,0,pt,cidades_br
A cidade de Goiânia fica em Goiás.,1,pt,cidades_br
A cidade de Goiânia fica no Rio de Janeiro.,0,pt,cidades_br
A cidade de Guarulhos fica em São Paulo.,1,pt,cidades_br
A cidade de Guarulhos fica no Rio de Janeiro.,0,pt,cidades_br
A cidade de Campinas fica em São Paulo.,1,pt,cidades_br
A cidade de Campinas fica na Bahia.,0,pt,cidades_br
A cidade de São Luís fica no Maranhão.,1,pt,cidades_br
A cidade de São Luís fica no Amapá.,0,pt,cidades_br
A cidade de São Gonçalo fica no Rio de Janeiro.,1,pt,cidades_br
A cidade de São Gonçalo fica no Amazonas.,0,pt,cidades_br
A cidade de Maceió fica em Alagoas.,1,pt,cidades_br
A cidade de Maceió fica em São Paulo.,0,pt,cidades_br
A cidade de Duque de Caxias fica no Rio de Janeiro.,1,pt,cidades_br
A cidade de Duque de Caxias fica em São Paulo.,0,pt,cidades_br
A cidade de Natal fica no Rio Grande do Norte.,1,pt,cidades_br
A cidade de Natal fica no Rio de Janeiro.,0,pt,cidades_br
A cidade de Teresina fica no Piauí.,1,pt,cidades_br
A cidade de Teresina fica no Pará.,0,pt,cidades_br
A cidade de Campo Grande fica no Mato Grosso do Sul.,1,pt,cidades_br
A cidade de Campo Grande fica em Santa Catarina.,0,pt,cidades_br
A cidade de Nova Iguaçu fica no Rio de Janeiro.,1,pt,cidades_br
A cidade de Nova Iguaçu fica em São Paulo.,0,pt,cidades_br
A cidade de Santo André fica em São Paulo.,1,pt,cidades_br
A cidade de Santo André fica no Piauí.,0,pt,cidades_br
A cidade de João Pessoa fica na Paraíba.,1,pt,cidades_br
A cidade de João Pessoa fica em São Paulo.,0,pt,cidades_br
A cidade de Osasco fica em São Paulo.,1,pt,cidades_br
A cidade de Osasco fica em Pernambuco.,0,pt,cidades_br
A cidade de São Bernardo do Campo fica em São Paulo.,1,pt,cidades_br
A cidade de São Bernardo do Campo fica no Rio Grande do Norte.,0,pt,cidades_br
A cidade de Jaboatão dos Guararapes fica em Pernambuco.,1,pt,cidades_br
A cidade de Jaboatão dos Guararapes fica no Rio de Janeiro.,0,pt,cidades_br
A cidade de Ribeirão Preto fica em São Paulo.,1,pt,cidades_br
A cidade de Ribeirão Preto fica no Mato Grosso.,0,pt,cidades_br
A cidade de Uberlândia fica em Minas Gerais.,1,pt,cidades_br
A cidade de Uberlândia fica no Rio Grande do Sul.,0,pt,cidades_br
A cidade de Contagem fica em Minas Gerais.,1,pt,cidades_br
A cidade de Contagem fica no Rio Grande do Sul.,0,pt,cidades_br
A cidade de Sorocaba fica em São Paulo.,1,pt,cidades_br
