statement,label,lang,dataset
A palavra em inglês 'house' significa 'casa'.,1,pt,traducoes_en_pt
A palavra em inglês 'house' significa 'carro'.,0,pt,traducoes_en_pt
A palavra em inglês 'water' significa 'água'.,1,pt,traducoes_en_pt
A palavra em inglês 'water' significa 'livro'.,0,pt,traducoes_en_pt
A palavra em inglês 'sun' significa 'sol'.,1,pt,traducoes_en_pt
A palavra em inglês 'sun' significa 'ilha'.,0,pt,traducoes_en_pt
A palavra em inglês 'moon' significa 'lua'.,1,pt,traducoes_en_pt
A palavra em inglês 'moon' significa 'gato'.,0,pt,traducoes_en_pt
A palavra em inglês 'tree' significa 'árvore'.,1,pt,traducoes_en_pt
A palavra em inglês 'tree' significa 'amigo'.,0,pt,traducoes_en_pt
A palavra em inglês 'book' significa 'livro'.,1,pt,traducoes_en_pt
A palavra em inglês 'book' significa 'sol'.,0,pt,traducoes_en_pt
A palavra em inglês 'door' significa 'porta'.,1,pt,traducoes_en_pt
A palavra em inglês 'door' significa 'estrada'.,0,pt,traducoes_en_pt
A palavra em inglês 'window' significa 'janela'.,1,pt,traducoes_en_pt
A palavra em inglês 'window' significa 'escola'.,0,pt,traducoes_en_pt
A palavra em inglês 'car' significa 'carro'.,1,pt,traducoes_en_pt
A palavra em inglês 'car' significa 'cidade'.,0,pt,traducoes_en_pt
A palavra em inglês 'dog' significa 'cachorro'.,1,pt,traducoes_en_pt
A palavra em inglês 'dog' significa 'gato'.,0,pt,traducoes_en_pt
A palavra em inglês 'cat' significa 'gato'.,1,pt,traducoes_en_pt
A palavra em inglês 'cat' significa 'noite'.,0,pt,traducoes_en_pt
A palavra em inglês 'bird' significa 'pássaro'.,1,pt,traducoes_en_pt
A palavra em inglês 'bird' significa 'carro'.,0,pt,traducoes_en_pt
A palavra em inglês 'river' significa 'rio'.,1,pt,traducoes_en_pt
A palavra em inglês 'river' significa 'sol'.,0,pt,traducoes_en_pt
A palavra em inglês 'mountain' significa 'montanha'.,1,pt,traducoes_en_pt
A palavra em inglês 'mountain' significa 'mão'.,0,pt,traducoes_en_pt
A palavra em inglês 'fire' significa 'fogo'.,1,pt,traducoes_en_pt
A palavra em inglês 'fire' significa 'estrada'.,0,pt,traducoes_en_pt
A palavra em inglês 'stone' significa 'pedra'.,1,pt,traducoes_en_pt
A palavra em inglês 'stone' significa 'sol'.,0,pt,traducoes_en_pt
A palavra em inglês 'bread' significa 'pão'.,1,pt,traducoes_en_pt
A palavra em inglês 'bread' significa 'cabeça'.,0,pt,traducoes_en_pt
A palavra em inglês 'milk' significa 'leite'.,1,pt,traducoes_en_pt
A palavra em inglês 'milk' significa 'montanha'.,0,pt,traducoes_en_pt
A palavra em inglês 'chair' significa 'cadeira'.,1,pt,traducoes_en_pt
A palavra em inglês 'chair' significa 'mar'.,0,pt,traducoes_en_pt
A palavra em inglês 'table' significa 'mesa'.,1,pt,traducoes_en_pt
A palavra em inglês 'table' significa 'pedra'.,0,pt,traducoes_en_pt
A palavra em inglês 'hand' significa 'mão'.,1,pt,traducoes_en_pt
A palavra em inglês 'hand' significa 'jardim'.,0,pt,traducoes_en_pt
A palavra em inglês 'eye' significa 'olho'.,1,pt,traducoes_en_pt
A palavra em inglês 'eye' significa 'porta'.,0,pt,traducoes_en_pt
A palavra em inglês 'heart' significa 'coração'.,1,pt,traducoes_en_pt
A palavra em inglês 'heart' significa 'cabeça'.,0,pt,traducoes_en_pt
A palavra em inglês 'head' significa 'cabeça'.,1,pt,traducoes_en_pt
A palavra em inglês 'head' significa 'cidade'.,0,pt,traducoes_en_pt
A palavra em inglês 'road' significa 'estrada'.,1,pt,traducoes_en_pt
A palavra em inglês 'road' significa 'chuva'.,0,pt,traducoes_en_pt
A palavra em inglês 'bridge' significa 'ponte'.,1,pt,traducoes_en_pt
A palavra em inglês 'bridge' significa 'comida'.,0,pt,traducoes_en_pt
A palavra em inglês 'cloud' significa 'nuvem'.,1,pt,traducoes_en_pt
A palavra em inglês 'cloud' significa 'cachorro'.,0,pt,traducoes_en_pt
A palavra em inglês 'rain' significa 'chuva'.,1,pt,traducoes_en_pt
A palavra em inglês 'rain' significa 'pedra'.,0,pt,traducoes_en_pt
A palavra em inglês 'night' significa 'noite'.,1,pt,traducoes_en_pt
A palavra em inglês 'night' significa 'gato'.,0,pt,traducoes_en_pt
A palavra em inglês 'day' significa 'dia'.,1,pt,traducoes_en_pt
A palavra em inglês 'day' significa 'pássaro'.,0,pt,traducoes_en_pt
A palavra em inglês 'week' significa 'semana'.,1,pt,traducoes_en_pt
A palavra em inglês 'week' significa 'nuvem'.,0,pt,traducoes_en_pt
A palavra em inglês 'year' significa 'ano'.,1,pt,traducoes_en_pt
A palavra em inglês 'year' significa 'água'.,0,pt,traducoes_en_pt
A palavra em inglês 'child' significa 'criança'.,1,pt,traducoes_en_pt
A palavra em inglês 'child' significa 'pássaro'.,0,pt,traducoes_en_pt
A palavra em inglês 'father' significa 'pai'.,1,pt,traducoes_en_pt
A palavra em inglês 'father' significa 'olho'.,0,pt,traducoes_en_pt
A palavra em inglês 'mother' significa 'mãe'.,1,pt,traducoes_en_pt
A palavra em inglês 'mother' significa 'nuvem'.,0,pt,traducoes_en_pt
A palavra em inglês 'friend' significa 'amigo'.,1,pt,traducoes_en_pt
A palavra em inglês 'friend' significa 'jardim'.,0,pt,traducoes_en_pt
A palavra em inglês 'city' significa 'cidade'.,1,pt,traducoes_en_pt
A palavra em inglês 'city' significa 'pedra'.,0,pt,traducoes_en_pt
A palavra em inglês 'street' significa 'rua'.,1,pt,traducoes_en_pt
A palavra em inglês 'street' significa 'leite'.,0,pt,traducoes_en_pt
A palavra em inglês 'school' significa 'escola'.,1,pt,traducoes_en_pt
A palavra em inglês 'school' significa 'gato'.,0,pt,traducoes_en_pt
A palavra em inglês 'hospital' significa 'hospital'.,1,pt,traducoes_en_pt
A palavra em inglês 'hospital' significa 'ilha'.,0,pt,traducoes_en_pt
A palavra em inglês 'food' significa 'comida'.,1,pt,traducoes_en_pt
A palavra em inglês 'food' significa 'porta'.,0,pt,traducoes_en_pt
A palavra em inglês 'fish' significa 'peixe'.,1,pt,traducoes_en_pt
A palavra em inglês 'fish' significa 'estrada'.,0,pt,traducoes_en_pt
A palavra em inglês 'flower' significa 'flor'.,1,pt,traducoes_en_pt
