statement,label,lang,dataset
seventy-nine is larger than sixty-nine.,1,en,larger_than
eighty-four is larger than seventy-one.,1,en,larger_than
fifty-two is larger than seventy-five.,0,en,larger_than
sixty-one is larger than sixty-four.,0,en,larger_than
sixty-two is larger than sixty-four.,0,en,larger_than
sixty-six is larger than eighty-one.,0,en,larger_than
eighty-four is larger than eighty-three.,1,en,larger_than
fifty-three is larger than eighty-seven.,0,en,larger_than
sixty-two is larger than eighty-four.,0,en,larger_than
eighty-one is larger than eighty-eight.,0,en,larger_than
ninety-one is larger than seventy-three.,1,en,larger_than
eighty-seven is larger than ninety-five.,0,en,larger_than
sixty-seven is larger than eighty-nine.,0,en,larger_than
eighty-nine is larger than fifty-four.,1,en,larger_than
fifty-eight is larger than eighty-five.,0,en,larger_than
ninety-five is larger than ninety-four.,1,en,larger_than
ninety-one is larger than ninety-four.,0,en,larger_than
ninety-eight is larger than ninety-three.,1,en,larger_than
fifty-five is larger than seventy-eight.,0,en,larger_than
fifty-one is larger than fifty-eight.,0,en,larger_than
eighty-six is larger than seventy-one.,1,en,larger_than
eighty-seven is larger than seventy-seven.,1,en,larger_than
sixty-two is larger than eighty-three.,0,en,larger_than
fifty-four is larger than fifty-five.,0,en,larger_than
seventy-seven is larger than eighty-five.,0,en,larger_than
fifty-three is larger than ninety-nine.,0,en,larger_than
ninety-four is larger than sixty-two.,1,en,larger_than
eighty-seven is larger than seventy-nine.,1,en,larger_than
ninety-seven is larger than ninety-six.,1,en,larger_than
fifty-eight is larger than fifty-six.,1,en,larger_than
eighty-four is larger than sixty-two.,1,en,larger_than
sixty-three is larger than eighty-two.,0,en,larger_than
ninety-nine is larger than ninety-four.,1,en,larger_than
fifty-seven is larger than fifty-eight.,0,en,larger_than
sixty-five is larger than eighty-four.,0,en,larger_than
ninety-two is larger than seventy-three.,1,en,larger_than
fifty-one is larger than ninety-five.,0,en,larger_than
fifty-nine is larger than ninety-two.,0,en,larger_than
eighty-nine is larger than seventy-four.,1,en,larger_than
ninety-one is larger than fifty-six.,1,en,larger_than
ninety-four is larger than eighty-four.,1,en,larger_than
ninety-two is larger than ninety-nine.,0,en,larger_than
eighty-five is larger than sixty-three.,1,en,larger_than
eighty-nine is larger than fifty-eight.,1,en,larger_than
eighty-one is larger than sixty-one.,1,en,larger_than
seventy-nine is larger than ninety-eight.,0,en,larger_than
ninety-two is larger than seventy-nine.,1,en,larger_than
eighty-four is larger than seventy-five.,1,en,larger_than
fifty-three is larger than seventy-six.,0,en,larger_than
fifty-eight is larger than sixty-eight.,0,en,larger_than
seventy-nine is larger than seventy-eight.,1,en,larger_than
fifty-four is larger than eighty-four.,0,en,larger_than
fifty-one is larger than fifty-three.,0,en,larger_than
eighty-nine is larger than eighty-two.,1,en,larger_than
seventy-eight is larger than seventy-nine.,0,en,larger_than
seventy-eight is larger than fifty-eight.,1,en,larger_than
eighty-three is larger than ninety-six.,0,en,larger_than
sixty-seven is larger than fifty-five.,1,en,larger_than
ninety-five is larger than ninety-three.,1,en,larger_than
seventy-four is larger than fifty-six.,1,en,larger_than
sixty-three is larger than seventy-five.,0,en,larger_than
fifty-six is larger than sixty-seven.,0,en,larger_than
sixty-three is larger than fifty-four.,1,en,larger_than
fifty-nine is larger than ninety-three.,0,en,larger_than
ninety-five is larger than eighty-eight.,1,en,larger_than
seventy-one is larger than eighty-four.,0,en,larger_than
seventy-seven is larger than eighty-two.,0,en,larger_than
ninety-nine is larger than sixty-eight.,1,en,larger_than
ninety-nine is larger than eighty-five.,1,en,larger_than
fifty-three is larger than ninety-eight.,0,en,larger_than
sixty-three is larger than fifty-seven.,1,en,larger_than
ninety-eight is larger than seventy-six.,1,en,larger_than
fifty-eight is larger than eighty-seven.,0,en,larger_than
seventy-five is larger than fifty-six.,1,en,larger_than
seventy-five is larger than fifty-nine.,1,en,larger_than
sixty-two is larger than seventy-four.,0,en,larger_than
seventy-two is larger than eighty-six.,0,en,larger_than
ninety-one is larger than sixty-two.,1,en,larger_than
fifty-six is larger than fifty-four.,1,en,larger_than
ninety-four is larger than seventy-five.,1,en,larger_than
fifty-three is larger than eighty-one.,0,en,larger_than
ninety-five is larger than seventy-five.,1,en,larger_than
fifty-nine is larger than ninety-six.,0,en,larger_than
sixty-eight is larger than seventy-five.,0,en,larger_than
seventy-five is larger than fifty-one.,1,en,larger_than
seventy-two is larger than eighty-five.,0,en,larger_than
eighty-six is larger than ninety-seven.,0,en,larger_than
seventy-seven is larger than fifty-four.,1,en,larger_than
fifty-eight is larger than eighty-four.,0,en,larger_than
seventy-five is larger than ninety-eight.,0,en,larger_than
sixty-two is larger than eighty-six.,0,en,larger_than
ninety-seven is larger than eighty-seven.,1,en,larger_than
eighty-four is larger than ninety-one.,0,en,larger_than
seventy-four is larger than fifty-one.,1,en,larger_than
seventy-five is larger than eighty-two.,0,en,larger_than
eighty-seven is larger than seventy-two.,1,en,larger_than
sixty-six is larger than eighty-five.,0,en,larger_than
